,id,name,city,state,rating,review_count,cost,latitude,longitude,has_delivery,has_pickup,url,icedog
1341,chipotle-mexican-grill-los-angeles-55,Chipotle Mexican Grill,Los Angeles,California,3.5,11,1,34.0414181397327,-118.258382196006,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-los-angeles-55?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
2238,taco-bell-chicago-5,Taco Bell,Chicago,Illinois,4.5,273,1,41.928278999999996,-87.673393,False,False,https://www.yelp.com/biz/taco-bell-chicago-5?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
3638,chipotle-mexican-grill-houston-35,Chipotle Mexican Grill,Houston,Texas,4.0,68,1,29.747211,-95.410361,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-houston-35?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
3731,chipotle-mexican-grill-houston-17,Chipotle Mexican Grill,Houston,Texas,3.5,73,1,29.709650318227702,-95.40123504273191,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-houston-17?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
6441,chipotle-mexican-grill-san-antonio-12,Chipotle Mexican Grill,San Antonio,Texas,3.5,40,1,29.519733000000002,-98.500963,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-san-antonio-12?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
6499,chipotle-mexican-grill-san-antonio-4,Chipotle Mexican Grill,San Antonio,Texas,4.0,41,1,29.4980705316736,-98.48008538151122,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-san-antonio-4?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
6500,chipotle-mexican-grill-san-antonio-4,Chipotle Mexican Grill,San Antonio,Texas,4.0,41,1,29.4980705316736,-98.48008538151122,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-san-antonio-4?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
6962,cracker-barrel-old-country-store-san-antonio-10,Cracker Barrel Old Country Store,San Antonio,Texas,3.0,89,2,29.5195225208489,-98.48467771831601,False,False,https://www.yelp.com/biz/cracker-barrel-old-country-store-san-antonio-10?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,field
8544,chipotle-mexican-grill-dallas-5,Chipotle Mexican Grill,Dallas,Texas,4.0,64,1,32.85756,-96.76952,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-dallas-5?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
8607,chipotle-mexican-grill-dallas,Chipotle Mexican Grill,Dallas,Texas,3.5,60,1,32.780506134033196,-96.80615234375,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-dallas?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
9410,taco-bell-san-jose-37,Taco Bell,San Jose,California,2.0,2,3,37.302248052321,-121.85950901359301,False,False,https://www.yelp.com/biz/taco-bell-san-jose-37?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
9454,ihop-san-jose,IHOP,San Jose,California,3.5,239,2,37.34812,-121.89907,False,False,https://www.yelp.com/biz/ihop-san-jose?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,field
9709,taco-bell-san-jose-31,Taco Bell,San Jose,California,4.5,4,1,37.3355224093961,-121.881109013061,False,False,https://www.yelp.com/biz/taco-bell-san-jose-31?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
9793,chipotle-mexican-grill-san-jose-4,Chipotle Mexican Grill,San Jose,California,3.0,289,1,37.33198,-121.90883000000001,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-san-jose-4?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
9899,burger-king-san-jose-11,Burger King,San Jose,California,3.5,26,1,37.29054,-121.88058000000001,False,False,https://www.yelp.com/biz/burger-king-san-jose-11?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
9960,chipotle-mexican-grill-san-jose-3,Chipotle Mexican Grill,San Jose,California,3.0,278,1,37.37055,-121.91691000000002,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-san-jose-3?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
11338,cracker-barrel-old-country-store-jacksonville,Cracker Barrel Old Country Store,Jacksonville,Florida,3.5,59,1,30.24843,-81.59715,False,False,https://www.yelp.com/biz/cracker-barrel-old-country-store-jacksonville?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,field
11611,zaxbys-chicken-fingers-and-buffalo-wings-jacksonville-7,Zaxby's Chicken Fingers & Buffalo Wings,Jacksonville,Florida,3.0,15,1,30.234838485717802,-81.6970672607422,False,False,https://www.yelp.com/biz/zaxbys-chicken-fingers-and-buffalo-wings-jacksonville-7?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
11641,chipotle-mexican-grill-jacksonville-2,Chipotle Mexican Grill,Jacksonville,Florida,4.0,60,1,30.173409999999997,-81.6279,False,False,https://www.yelp.com/biz/chipotle-mexican-grill-jacksonville-2?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
11642,zaxbys-chicken-fingers-and-buffalo-wings-jacksonville-14,Zaxby's Chicken Fingers & Buffalo Wings,Jacksonville,Florida,3.5,6,1,30.280488650076602,-81.60321727395059,False,False,https://www.yelp.com/biz/zaxbys-chicken-fingers-and-buffalo-wings-jacksonville-14?adjust_creative=U8oc7RYFD0Y2TNHt_Uw11A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U8oc7RYFD0Y2TNHt_Uw11A,hotdog_only
